Bureau of Justice Statistics,,,,,,,,,,
Filename: p22stt08.csv,,,,,,,,,,
"Table 8. Admissions of sentenced prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, 2021 and 2022",,,,,,,,,,
Report title: Prisoners in 2022 – Statistical Tables   NCJ 307149,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2021 and 2022",,,,,,,,,,
"Authors: E. Ann Carson, PhD, former BJS Statistician; and Rich Kluckow, DSW, BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,
Date of version: 11/30/23,,,,,,,,,,
,,,,,,,,,,
"Table 8. Admissions of sentenced prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, 2021 and 2022",,,,,,,,,,
Jurisdiction,,2021 total ,2022 total ,"Change, 2021–2022","Percent change, 2021–2022",,2021 new court commitments,2022 new court commitments,2021 conditional supervision violations/a,2022 conditional supervision violations/a
,Nevada,"3,941","4,490",549,13.9,,"2,871","3,336","1,070","1,154"
,New Hampshire,863,870,7,0.8,,387,393,469,477
,New Jersey,"4,381","5,358",977,22.3,,"2,838","3,786","1,543","1,572"
,New Mexico/j,"2,364","2,363",-1,0,,"1,347","1,426",907,777
,New York,"8,612","10,063","1,451",16.8,,"5,978","8,974","2,585","1,021"
,North Carolina,"12,833","14,286","1,453",11.3,,"9,236","10,584","3,597","3,702"
,North Dakota,"1,381","1,329",-52,-3.8,,"1,164","1,111",217,218
,Ohio/j,"16,837","17,728",891,5.3,,"11,902","12,225","4,566","5,194"
,Oklahoma,"5,799","6,145",346,6,,"4,290","4,407","1,445","1,650"
,Oregon,"4,161","6,894","2,733",65.7,,"2,620","2,989","1,325","1,335"
,Pennsylvania,"12,164","13,048",884,7.3,,"5,693","7,129","6,144","5,768"
,Rhode Island/e,478,472,-6,-1.3,,396,408,81,64
,South Carolina,"3,799","4,823","1,024",27,,"3,014","4,136",777,679
,South Dakota,"3,803","3,458",-345,-9.1,,"1,426","1,448",634,"1,112"
,Tennessee,"9,347","9,731",384,4.1,,"5,575","6,087","3,772","3,644"
,Texas,"55,651","63,971","8,320",15,,"35,715","44,353","19,183","18,645"
,Utah,"3,613","3,601",-12,-0.3,,"1,175","1,368","2,438","2,233"
,"Vermont/e,k",751,819,68,9.1,,/,/,/,/
,Virginial,"9,892","8,959",-933,-9.4,,"9,878","8,903",14,56
,Washington/j,"11,556","11,520",-36,-0.3,,"3,523","3,924","8,026","7,575"
,West Virginia,"2,864","2,789",-75,-2.6,,"1,262","1,259","1,492","1,400"
,Wisconsin,"4,763","5,477",714,15,,"3,002","3,570","1,747","1,907"
,Wyoming,811,845,34,4.2,,649,698,162,147
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. For jurisdiction-level information, see Jurisdiction notes on the BJS website. Counts exclude transfers, escapes, and absences without leave (AWOLs). Counts include other conditional release violators, returns from appeal or bond, and other admissions. See Methodology. Counts cover January 1 through December 31 for each year and are based on prisoners admitted to state or federal correctional authorities with a sentence of more than 1 year. As of December 31, 2001, persons sentenced for a felony in the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,,,,,,
/Not reported.,,,,,,,,,,
"a/Includes all conditional release violators returned to prison from postcustody community supervision, including parole and probation, either for violations of conditions of release or for new crimes.",,,,,,,,,,
"b/U.S. and state total estimates for 2021 and 2022 include imputed counts for Vermont, which did not submit data on admissions for 2021 or 2022.",,,,,,,,,,
c/Includes adult prisoners held in nonsecure community corrections facilities and adults and persons age 17 or younger held in privately operated facilities.,,,,,,,,,,
d/Includes the admission of an undetermined number of prisoners with sentences of 1 year or less.,,,,,,,,,,
e/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,
f/Florida does not report prison admissions for technical violations. All admissions represent new sentences. The admissions due to supervision violations represent persons who committed new crimes while on postcustody community supervision.,,,,,,,,,,
g/Admission counts for parole violations include prisoners who were AWOL and who committed a subsequent technical violation or new offense while on parole.,,,,,,,,,,
h/New court commitment admissions may include probation release violators who received new sentences.,,,,,,,,,,
i/New court commitment admissions may include a small number of persons returning from bond or appeal.,,,,,,,,,,
"j/Includes all admissions and releases from state prison, regardless of sentence length. See Jurisdiction notes on the BJS website.",,,,,,,,,,
k/State did not supply data on prison admissions for 2021 or 2022. See Methodology for imputation strategy.,,,,,,,,,,
l/Admission data for 2022 are based on fiscal year 2021 counts and are preliminary. Admissions include persons sentenced to 1 year or more.,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2021 and 2022.",,,,,,,,,,
