Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: p22stt15.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 15. Prisoners age 17 or younger in the custody of publicly or privately operated state or federal prisons, by jurisdiction, 2021 and 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2022 – Statistical Tables   NCJ 307149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2021 and 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Authors: E. Ann Carson, PhD, former BJS Statistician; and Rich Kluckow, DSW, BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 11/30/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 15. Prisoners age 17 or younger in the custody of publicly or privately operated state or federal prisons, by jurisdiction, 2021 and 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurisdiction,,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,U.S. total,292,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kansas,0,^,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kentucky,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Louisiana,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maine,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maryland,^,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Massachusetts,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Michigan,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Minnesota,^,^,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mississippi,20,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Missouri,^,^,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Montana,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nebraska,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nevada,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,New Hampshire,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,New Jersey,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,New Mexico,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,New York,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Carolina,16,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Dakota,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ohio,27,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oklahoma,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oregon,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pennsylvania,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhode Island,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Carolina,^,^,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Dakota,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tennessee,^,^,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas,15,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Utah,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vermont/b,^,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Virginia,^,^,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Washington,^,^,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,West Virginia,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wisconsin,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wyoming,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: In 2017, BJS began requesting that National Prisoner Statistics respondents include data on all persons age 17 or younger held in the physical custody of state and federal correctional authorities and in private prisons, excluding prisoners held in local jails and in the custody of other jurisdictions. For jurisdiction-level information, see Jurisdiction notes on the BJS website. Counts are for December 31 of each year and are based on prisoners with any sentence status. See Methodology. As of December 31, 2001, persons sentenced for a felony in the District of Columbia were the responsibility of the Federal Bureau of Prisons (BOP). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^Four or fewer persons.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~Not applicable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a/The BOP holds prisoners age 17 or younger in privately operated facilities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2021 and 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
