Bureau of Justice Statistics,,,,,,,,,
Filename: p22stt22.csv,,,,,,,,,
"Table 22. Citizenship status of prisoners in the custody of publicly or privately operated state or federal prisons, excluding jails, by sex and jurisdiction, December 31, 2022",,,,,,,,,
Report title: Prisoners in 2022 – Statistical Tables   NCJ 307149,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2022",,,,,,,,,
"Authors: E. Ann Carson, PhD, former BJS Statistician; and Rich Kluckow, DSW, BJS Statistician",,,,,,,,,
Refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,
Date of version: 11/30/23,,,,,,,,,
,,,,,,,,,
"Table 22. Citizenship status of prisoners in the custody of publicly or privately operated state or federal prisons, excluding jails, by sex and jurisdiction, December 31, 2022",,,,,,,,,
,,U.S. citizen prisoners,,,Non-U.S. citizen prisoners,,,,
,"Oklahoma/b,c","21,228","19,065","2,163",525,509,16,2.4,
,Oregon/e,/,/,/,/,/,/,:,
,Pennsylvania/f,"34,159","32,363","1,796",351,342,9,1,
,Rhode Island/g,/,/,/,/,/,/,:,
,South Carolina,"15,616","14,484","1,132",318,308,10,2,
,South Dakota/e,"3,133","2,708",425,70,^^,^,2,
,Tennessee,"18,445","16,901","1,544",511,497,14,2.7,
,Texas/f,"110,899","102,243","8,656","7,145","6,986",159,6.1,
,Utah/f,"4,149","3,768",381,251,238,13,5.7,
,"Vermont/e,g","1,271","1,182",89,18,18,0,1.3,
,Virginia,"22,226","20,816","1,410","1,268","1,239",29,5.3,
,Washington/f,"11,278","10,575",703,664,650,14,5,
,West Virginia/f,"5,123","4,551",572,10,10,0,0.2,
,Wisconsin/f,"17,792","16,517","1,275",437,427,10,2.1,
,Wyoming,"2,056","1,808",248,34,34,0,1.6,
"Note: Interpret these statistics with caution. Unless otherwise noted, citizenship status is based on prisoners’ self-report upon admission to prison. The counts of U.S. citizens and non-U.S. citizens represent persons held in the physical custody of state or federal correctional authorities and in private prisons, excluding prisoners held in local jails or the custody of other jurisdictions but including prisoners in states with an integrated prison and jail system. Some jurisdictions use prisoners’ reported country of birth to determine current citizenship. For jurisdiction-level information, see Jurisdiction notes on the BJS website. BJS changed the way it measured citizenship in the National Prisoner Statistics to include all non-U.S. citizens as of the 2016 reference year. See Methodology. As of December 31, 2001, persons sentenced for a felony in the District of Columbia were the responsibility of the Federal Bureau of Prisons (BOP).",,,,,,,,,
:Not calculated.,,,,,,,,,
/Not reported.,,,,,,,,,
^Four or fewer persons.,,,,,,,,,
^^Suppressed to protect confidentiality.,,,,,,,,,
"a/Percentages are based on custody or jurisdiction population, which may include persons with unknown citizenship. See individual states’ footnotes for the population used in the calculation.",,,,,,,,,
b/State did not rely on self-report citizenship data from prisoners.,,,,,,,,,
c/Citizenship data were based on law enforcement documents or court documents that accompanied prisoners upon admission.,,,,,,,,,
"d/Citizenship data were subject to verification by an external data source (e.g., comparison to official records from U.S. Immigration and Customs Enforcement or other relevant government agencies).",,,,,,,,,
e/Counts of non-U.S. citizens represent all persons under the jurisdiction of correctional authorities in the BOP or state.,,,,,,,,,
f/Counts of non-U.S. citizens exclude those held in private facilities.,,,,,,,,,
g/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,
"h/Under Colorado state bill SB21-131, which was signed into law in June 2021, the Colorado Department of Corrections is restricted from collecting citizenship information, including place of birth or immigration or citizenship status. Citizenship counts reflect data collected from persons who were in prison prior to the passage of SB21-131 and remained in prison on December 31, 2022.",,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2022.",,,,,,,,,
