Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,
Filename: p22stt02.csv,,,,,,,,,,,,,,,,,,,
"Table 2. Prisoners under the jurisdiction of state or federal correctional authorities, by sex and jurisdiction, 2021 and 2022",,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2022 – Statistical Tables   NCJ 307149,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2021 and 2022",,,,,,,,,,,,,,,,,,,
"Authors: E. Ann Carson, PhD, former BJS Statistician; and Rich Kluckow, DSW, BJS Statistician",,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,,,,,,
Date of version: 11/30/23,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Table 2. Prisoners under the jurisdiction of state or federal correctional authorities, by sex and jurisdiction, 2021 and 2022",,,,,,,,,,,,,,,,,,,
,,2021,,,,2022,,,,"Change, 2021–2022",,,,"Percent change, 2021–2022",,,,,
,Nebraska,"5,600","5,200",400,,"5,649","5,272",377,,49,72,-23,,0.9,,1.4,,-5.8,
,Nevada,"10,202","9,418",784,,"10,304","9,456",848,,102,38,64,,1,,0.4,,8.2,
,New Hampshire,"2,127","1,979",148,,"2,086","1,932",154,,-41,-47,6,,-1.9,,-2.4,,4.1,
,New Jersey,"12,506","12,052",454,,"12,657","12,233",424,,151,181,-30,,1.2,,1.5,,-6.6,
,New Mexico,"5,154","4,635",519,,"4,970","4,488",482,,-184,-147,-37,,-3.6,,-3.2,,-7.1,
,New York,"30,338","29,233","1,105",,"31,148","29,960","1,188",,810,727,83,,2.7,,2.5,,7.5,
,North Carolina,"28,995","26,871","2,124",,"29,627","27,340","2,287",,632,469,163,,2.2,,1.7,,7.7,
,North Dakota,"1,689","1,489",200,,"1,817","1,584",233,,128,95,33,,7.6,,6.4,,16.5,
,Ohio,"45,029","41,443","3,586",,"45,313","41,655","3,658",,284,212,72,,0.6,,0.5,,2,
,Oklahoma/e,"22,391","20,216","2,175",,"22,941","20,709","2,232",,550,493,57,,2.5,,2.4,,2.6,
,Oregon,"13,198","12,252",946,,"12,518","11,606",912,,-680,-646,-34,,-5.2,,-5.3,,-3.6,
,Pennsylvania,"37,194","35,182","2,012",,"37,910","35,799","2,111",,716,617,99,,1.9,,1.8,,4.9,
,Rhode Island/b,"2,238","2,115",123,,"2,393","2,276",117,,155,161,-6,,6.9,,7.6,,-4.9,
,South Carolina,"15,759","14,721","1,038",,"16,318","15,155","1,163",,559,434,125,,3.5,,2.9,,12,
,South Dakota,"3,353","2,892",461,,"3,444","2,915",529,,91,23,68,,2.7,,0.8,,14.8,
,Tennessee,"21,995","19,903","2,092",,"23,735","21,518","2,217",,"1,740","1,615",125,,7.9,,8.1,,6,
,Texas,"133,772","123,263","10,509",,"139,631","128,268","11,363",,"5,859","5,005",854,,4.4,,4.1,,8.1,
,Utah,"5,911","5,429",482,,"6,009","5,567",442,,98,138,-40,,1.7,,2.5,,-8.3,
,Vermont/b,"1,287","1,204",83,,"1,360","1,258",102,,73,54,19,,5.7,,4.5,,22.9,
,Virginia,"30,357","28,119","2,238",,"27,162","25,326","1,836",,"-3,195","-2,793",-402,,-10.5,,-9.9,,-18,
,Washington,"13,674","12,888",786,,"13,772","12,955",817,,98,67,31,,0.7,,0.5,,3.9,
,West Virginia,"5,847","5,227",620,,"5,873","5,260",613,,26,33,-7,,0.4,,0.6,,-1.1,
,Wisconsin,"20,202","18,953","1,249",,"20,873","19,503","1,370",,671,550,121,,3.3,,2.9,,9.7,
,Wyoming,"2,123","1,858",265,,"2,154","1,907",247,,31,49,-18,,1.5,,2.6,,-6.8,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. For jurisdiction-level information, see Jurisdiction notes on the BJS website. Counts are for December 31 of each year and are based on prisoners with any sentence status. As of December 31, 2001, persons sentenced for a felony in the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,,,,,,,,,,,,,,,
a/Includes adult prisoners held in nonsecure community corrections facilities and adults and persons age 17 or younger held in privately operated facilities.,,,,,,,,,,,,,,,,,,,
b/Prisons and jails form one integrated system. Data include total jail and prison populations. Data for these states are not reported in BJS’s annual Jail Inmates reports.,,,,,,,,,,,,,,,,,,,
c/Total jurisdiction counts for 2021 have been updated.,,,,,,,,,,,,,,,,,,,
d/State does not include persons held in federal or other state prisons in its jurisdiction count.,,,,,,,,,,,,,,,,,,,
e/Includes persons who were waiting in county jail to be moved to state prison.,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2021 and 2022.",,,,,,,,,,,,,,,,,,,
