Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: p22stt18.csv,,,,,,,,,,,,,
"Table 18. Sentenced prisoners in the custody of state correctional authorities and privately operated facilities contracted to states, by most serious offense and jurisdiction, December 31, 2021",,,,,,,,,,,,,
Report title: Prisoners in 2022 – Statistical Tables   NCJ 307149,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Corrections Reporting Program, 2021",,,,,,,,,,,,,
"Authors: E. Ann Carson, PhD, former BJS Statistician; and Rich Kluckow, DSW, BJS Statistician",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,
Date of version: 11/30/23,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 18. Sentenced prisoners in the custody of state correctional authorities and privately operated facilities contracted to states, by most serious offense and jurisdiction, December 31, 2021",,,,,,,,,,,,,
Jurisdiction,Total number of sentenced prisoners in custody,Total/a,,Violent,,Property,,Drug,,Public order,,Other/unspecified,
Nevada,"10,045",100,,48,,13.8,,6.1,,30.4,,1.4,
New Hampshire,"2,015",100,,58.3,,14.7,,14,,9.3,,0.1,
New Jersey/c,"22,057",100,,50.8,,8.2,,14.9,,8.4,,17.7,
New Mexico/d,"7,086",100,,53.4,,20.1,,16.2,,10.1,,0.2,
New York,"30,339",100,,61.2,,13.5,,10.4,,14.2,,0.5,
North Carolina,"29,026",100,,53.4,,11.4,,13.7,,21.5,,0.1,
North Dakota,"1,788",100,,50.8,,15,,24.8,,9.3,,0.1,
Ohio,"44,411",100,,59.4,,12.2,,14.8,,12.5,,1.1,
Oklahoma,"21,239",100,,62.1,,15.2,,11.3,,11,,0.3,
Oregon,"12,042",100,,71.9,,14.1,,5.7,,7.6,,0.4,
Pennsylvania,"38,516",100,,63,,10.9,,11.1,,12.8,,0.3,
Rhode Island/b,"1,346",100,,68,,8.8,,10.3,,11.7,,1.2,
South Carolina,"15,904",100,,59.9,,18.5,,17.1,,3.8,,0.7,
South Dakota,"3,109",100,,49.5,,14.7,,27.9,,6,,1.2,
Tennessee,"26,513",100,,51.4,,18.4,,20.5,,7.2,,1.6,
Texas,"116,467",100,,66.2,,10.3,,13.1,,10.4,,#,
Utah,"5,865",100,,60.7,,15.4,,13.8,,10.1,,0.1,
Vermont/b,923,100,,62.7,,17.8,,5.6,,13,,0.9,
Virginia,"28,873",100,,62.6,,15.4,,16.1,,4.6,,0.2,
Washington,"13,399",100,,67.6,,12.9,,4.4,,14.5,,0.3,
West Virginia,"5,845",100,,50,,21.8,,11.7,,13.9,,2.6,
Wisconsin,"20,017",100,,60.1,,11,,12.9,,15.8,,#,
Wyoming,"2,126",100,,57.1,,14,,20.5,,7.9,,0.1,
"Note: Details may not sum to totals due to rounding and missing offense data. Unless otherwise noted, data represent prisoners in the physical custody of state correctional authorities, or those held for the state in privately operated prison facilities, on December 31, 2021. Percentages are based on prisoners with a sentence of more than 1 year. For prisoners convicted of more than one offense, BJS defines the most serious offense as the offense with the longest sentence. States can report up to three offenses in the National Corrections Reporting Program (NCRP) and are asked to single out the offense with the longest sentence. If they do not identify the offense with the longest sentence, BJS assumes an order of sentencing that prioritizes violent offenses, followed by property, drug, and public order offenses.",,,,,,,,,,,,,
#Rounds to zero.,,,,,,,,,,,,,
a/Includes prisoners with unknown offenses.,,,,,,,,,,,,,
b/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,,,,
"c/NCRP data are from December 31, 2018.",,,,,,,,,,,,,
"d/NCRP data are from December 31, 2017.",,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Corrections Reporting Program, 2021.",,,,,,,,,,,,,
