Bureau of Justice Statistics,,,,,,,,,,,,
Filename: p22stat01.csv,,,,,,,,,,,,
"Appendix Table 1. Prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction and race or Hispanic origin, December 31, 2022",,,,,,,,,,,,
Report title: Prisoners in 2022 – Statistical Tables   NCJ 307149,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2022 (preliminary); and National Prisoner Statistics, 2022",,,,,,,,,,,,
"Authors: E. Ann Carson, PhD, former BJS Statistician; and Rich Kluckow, DSW, BJS Statistician",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,
Date of version: 11/30/23,,,,,,,,,,,,
,,,,,,,,,,,,
"Appendix Table 1. Prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction and race or Hispanic origin, December 31, 2022",,,,,,,,,,,,
Jurisdiction,,Total,White/a,Black/a,Hispanic,American Indian/Alaska Native/a,Asian/a,Native Hawaiian/Other Pacific Islander/a,Two or more races/a,Other/a,Unknown,Did not report
,Washington,"13,772","7,588","2,368","2,315",763,599,0,0,56,83,0
,West Virginia,"5,873","4,936",836,53,3,1,0,44,0,0,0
,Wisconsin,"20,873","9,153","8,312","2,168",985,249,0,0,/,6,0
,Wyoming/m,"2,154","1,602",101,262,176,4,3,0,3,3,0
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. For jurisdiction-level information, see Jurisdiction notes on the BJS website. Counts are based on prisoners with any sentence status and were provided by state and federal departments of corrections’ administrative record systems and may not reflect prisoners’ self-identification of race or Hispanic origin. State, federal, and national totals by race or Hispanic origin differ from other tables in this report due to adjustments that BJS made in other tables to correct for differences between administrative records and prisoner self-reported data on race or Hispanic origin. As of December 31, 2001, persons sentenced for a felony in the District of Columbia were the responsibility of the Federal Bureau of Prisons (BOP).",,,,,,,,,,,,
~Not applicable. Jurisdiction does not track this race or ethnicity.,,,,,,,,,,,,
/Not reported. ,,,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic white persons and “black” refers to non-Hispanic black persons).",,,,,,,,,,,,
b/The BOP does not separate persons of Hispanic origin from the individual race categories when reporting to the National Prisoner Statistics. BJS used data from the 2022 Federal Justice Statistics Program (preliminary) to estimate Hispanic origin.,,,,,,,,,,,,
"c/Asians, Native Hawaiians, and Other Pacific Islanders were combined into a single category and reported in the Asian category.",,,,,,,,,,,,
d/Department of Corrections (DOC) reported counts of prisoners by race that exceeded its jurisdiction population. Data in this table are those reported by the DOC.,,,,,,,,,,,,
e/State does not collect data on two or more races.,,,,,,,,,,,,
"f/State does not collect data on Native Hawaiians, Other Pacific Islanders, or persons of two or more races.",,,,,,,,,,,,
"g/Asians, Native Hawaiians, and Other Pacific Islanders were combined into a single category and reported in the Other race category.",,,,,,,,,,,,
h/Persons of two or more races are not separated by Hispanic origin.,,,,,,,,,,,,
i/Persons of Hispanic origin may be undercounted due to data collection methods.,,,,,,,,,,,,
j/State reported prisoners in 2022 in the Unknown race category who in years prior to 2021 may have been reported as Other.,,,,,,,,,,,,
k/Counts based on in-state custody population plus persons held in privately operated prison facilities.,,,,,,,,,,,,
l/State does not collect data on two or more races but includes these persons in the Other race category.,,,,,,,,,,,,
m/Other includes persons of Middle Eastern/North African ancestry.,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2022 (preliminary); and National Prisoner Statistics, 2022.",,,,,,,,,,,,
